Num,District ,Province,X,Y,Housing Sale Prices USD 
1,Bangkok Yai,Bangkok,13.74,100.47,9836
2,Bangkok Noi,Bangkok,13.77,100.47,6557
3,Bang Khae,Bangkok,13.72,100.39,4918
4,Bang Sue,Bangkok,13.82,100.53,3934
5,Bang Khen,Bangkok,13.87,100.63,26230
6,Bang Kapi,Bangkok,13.77,100.64,5574
7,Don Mueang,Bangkok,13.93,100.59,4590
8,Thon Buri,Bangkok,13.72,100.48,11475
9,Taling Chan,Bangkok,13.77,100.43,5902
10,Samphanthawong,Bangkok,13.74,100.51,22951
11,Rat Burana,Bangkok,13.68,100.5,4918
12,Phra Khanong,Bangkok,13.7,100.61,21311
13,Phaya Thai,Bangkok,13.784167100.543056,100.54,13115
14,Phasi Charoen,Bangkok,13.73,100.44,3279
15,Pathum Wan,Bangkok,13.75,100.53,32787
16,Nong Khaem,Bangkok,13.7,100.35,5574
17,Nong Chok,Bangkok,13.85,100.86,672
18,Min Buri,Bangkok,13.81,100.75,3934
19,Lat Krabang,Bangkok,13.75,100.79,2131
20,Khlong Toei,Bangkok,13.72,100.57,18033
21,Khlong San,Bangkok,13.73,100.5,8197
22,Dusit,Bangkok,13.78,100.52,29508
23,Ratchathewi,Bangkok,13.76,100.54,13115
24,Din Daeng,Bangkok,13.78,100.56,13115
25,Saphan Sung,Bangkok,13.77,100.69,3279
26,Bang Bon,Bangkok,13.66,100.39,3934
27,Chom Thong,Bangkok,13.69,100.46,3279
28,Thawi Watthana,Bangkok,13.78,100.37,5902
29,Huai Khwang,Bangkok,13.77,100.58,14754
30,Bueng Kum,Bangkok,13.81,100.65,3279
31,Wang Thonglang,Bangkok,13.78,100.61,4918
32,Bang Phlat,Bangkok,13.79,100.49,5902
33,Lat Phrao,Bangkok,13.83,100.61,3279
34,Khan Na Yao,Bangkok,13.82,100.68,3934
35,Khlong Sam Wa,Bangkok,13.88,100.74,2623
36,Lak Si,Bangkok,13.88,100.57,4262
37,Chatuchak,Bangkok,13.83,100.56,9180
38,Sai Mai,Bangkok,13.91,100.65,3279
39,Thung Khru,Bangkok,13.63,100.5,3279
40,Bang Na,Bangkok,13.67,100.62,13115
41,Sathon,Bangkok,13.72,100.53,32787
42,Prawet,Bangkok,13.72,100.69,5902
43,Watthana,Bangkok,13.74,100.58,4590
44,Suan Luang,Bangkok,13.73,100.63,13115
45,Yan Nawa,Bangkok,13.69,100.54,26230
46,Bang Rak,Bangkok,13.73,100.54,26230
47,Bang Khun Thian,Bangkok,13.59,100.43,4262
48,Pom Prap Sattru Phai,Bangkok,13.75,100.51,29508
49,Phra Nakhon,Bangkok,13.76,100.5,32787
50,Bang Kho Laem,Bangkok,13.7,100.51,26230
